time,vibX,vibY,vibZ
1679531117.977039,1.232361,-0.217651,-0.688354
1679531118.1800995,0.982361,-0.858276,-0.188354
1679531118.3691602,1.482361,-0.327026,-0.422729
1679531118.5840487,1.482361,-0.639526,-0.438354
1679531118.7839437,1.732361,-0.436401,-0.532104
1679531118.9680352,1.732361,-0.717651,-0.485229
1679531119.1842153,1.232361,-0.561401,-0.625854
1679531119.388152,1.482361,-0.358276,-0.125854
1679531119.5531194,1.982361,-0.311401,-0.625854
1679531119.7560844,1.982361,-0.577026,-0.375854
1679531119.9400415,1.982361,-0.811401,-0.172729
1679531120.128178,1.232361,-0.420776,-0.469604
1679531120.3159642,1.232361,-0.217651,-0.141479
1679531120.5358868,0.982361,-0.623901,-0.094604
1679531120.7200873,1.232361,-0.545776,-0.328979
1679531120.912479,1.482361,-0.561401,-0.172729
1679531121.1962304,1.482361,-0.561401,-0.532104
1679531121.3726976,1.732361,-0.327026,-0.328979
1679531121.5482988,0.982361,-0.295776,-0.078979
1679531121.708666,1.732361,-0.311401,-0.547729
1679531121.9174154,1.482361,-0.436401,-0.547729
1679531122.108965,1.482361,-0.436401,-0.953979
1679531122.301304,1.982361,-0.280151,-0.516479
1679531122.5131378,1.732361,-0.577026,-1.032104
1679531122.7210617,1.732361,-0.889526,-0.375854
1679531122.9120777,1.732361,-0.326965,-0.000854
1679531123.1290495,1.482361,-0.139526,-0.469604
1679531123.3170114,1.732361,-0.264526,-0.391479
1679531123.5490117,1.732361,-0.358276,-0.422729
1679531123.769077,1.482361,-0.405151,-0.438354
1679531123.976991,1.732361,-0.358276,-0.735229
1679531124.152307,1.482361,-0.795776,-0.360229
1679531124.3321035,1.982361,-0.639526,-0.094604
1679531124.5323467,1.232361,-0.483276,-0.532104
1679531124.705203,1.232361,-0.295776,-0.047729
1679531124.8758464,1.732361,-0.373901,-0.485229
1679531125.0560682,1.482361,-0.514526,-0.141479
1679531125.236725,1.482361,-0.342651,-0.141479
1679531125.4212468,1.732361,-0.764526,-0.438354
1679531125.6370363,1.482361,-0.170776,-0.516479
1679531125.801064,1.482361,-0.592651,-0.578979
1679531125.9800894,1.482361,-0.280151,-0.532104
1679531126.160188,1.482361,-0.327026,-0.453979
1679531126.369294,1.482361,-0.264526,-0.703979
1679531126.540974,1.732361,-0.389526,-0.594604
1679531126.7042358,1.482361,-0.670776,-0.516479
1679531126.8763013,1.482361,-0.530151,-0.500854
1679531127.0880077,1.482361,-0.592651,-0.485229
1679531127.256976,1.482361,-0.436401,-0.703979
1679531127.4290383,1.982361,-0.780151,-0.485229
1679531127.6040444,1.482361,-0.389526,-0.438354
1679531127.8000798,1.232361,-0.248901,-0.250854
1679531127.980015,1.732361,-0.436401,-0.657104
1679531128.2998288,0.982361,-0.483276,-0.407104
1679531128.5407486,1.982361,-0.373901,-0.735229
1679531128.804839,1.232361,-0.467651,-0.516479
1679531129.0319824,1.732361,-0.639526,-0.672729
1679531129.2239163,1.732361,-0.514526,-0.672729
1679531129.3929863,1.482361,-0.514526,-0.516479
1679531129.5806851,1.982361,-0.545776,-0.266479
1679531129.7680385,1.482361,-0.561401,-0.344604
1679531129.9443448,1.482361,-0.514526,-0.578979
1679531130.1371384,1.232361,-0.389526,-0.172729
1679531130.3176892,1.732361,-0.217651,-0.297729
1679531130.496043,1.732361,-0.030151,-0.172729
1679531130.6760693,1.232361,-0.077026,-0.219604
1679531130.852065,1.482361,-0.342651,-0.532104
1679531131.0319176,1.482361,-0.577026,-0.375854
1679531131.201275,1.732361,-0.233276,-0.641479
1679531131.3849342,1.232361,-0.514526,-0.641479
1679531131.5440474,1.232361,-0.373901,-0.328979
1679531131.7399857,1.732361,-0.420776,-0.641479
1679531131.904181,1.232361,-0.514526,-0.657104
1679531132.088067,1.482361,-0.592651,-0.219604
1679531132.2806814,1.732361,-0.452026,-0.391479
1679531132.4720223,1.482361,-0.670776,-0.672729
1679531132.6370842,1.732361,-0.420776,-0.344604
1679531132.8130162,1.232361,-0.561401,-0.141479
1679531133.0521247,1.732361,-0.264526,-0.750854
1679531133.2402694,1.232361,-0.608276,-0.563354
1679531133.4320748,1.232361,0.001099,-0.500854
1679531133.609063,0.982361,-0.217651,-0.313354
1679531133.761061,1.232361,-0.358276,-0.297729
1679531133.929107,1.982361,-0.452026,-0.469604
1679531134.1487153,0.982361,-0.123901,-0.375854
1679531134.3243606,1.732361,-0.467651,-0.563354
1679531134.5161903,1.232361,-0.545776,-0.532104
1679531134.7082083,1.232361,-0.280151,-0.235229
1679531134.8919544,0.982361,-0.217651,-0.219604
1679531135.0959337,1.732361,-0.295776,-0.563354
1679531135.295925,1.232361,-0.561401,-0.391479
1679531135.4760568,1.982361,-0.577026,-0.532104
1679531135.6449463,-1.767639,-0.311401,-0.485229
1679531135.8089397,1.482361,-0.686401,-0.407104
1679531136.020194,1.482361,-0.373901,-0.469604
1679531136.1799738,1.732361,-0.311401,-0.422729
1679531136.3530562,1.482361,-0.248901,-0.563354
1679531136.569198,1.482361,-0.389526,-0.594604
1679531136.7330604,1.732361,-0.420776,-0.578979
1679531136.9239805,1.232361,-0.467651,-0.625854
1679531137.096992,1.482361,-0.248901,-0.391479
1679531137.3519711,1.232361,-0.748901,-0.360229
1679531137.5280368,1.232361,-0.530151,-0.360229
1679531137.7199645,0.982361,-0.358276,-0.532104
1679531137.9321978,1.482361,-0.217651,-0.422729
1679531138.1693232,1.482361,-0.139526,-0.235229
1679531138.3964417,1.482361,-0.545776,-0.782104
1679531138.6161282,1.232361,-0.311401,-0.672729
1679531138.8681448,1.232361,-0.561401,-0.641479
1679531139.0521798,1.232361,-0.295776,-0.797729
1679531139.244069,1.732361,-0.389526,-0.375854
1679531139.4363415,1.982361,-0.061401,-0.578979
1679531139.6359918,1.982361,-0.530151,-0.188354
1679531139.860161,1.482361,-0.311401,-0.313354
1679531140.0600648,1.232361,-0.623901,-0.375854
1679531140.2921112,1.482361,-0.670776,-0.547729
1679531140.568097,1.982361,-0.483276,-0.094604
1679531140.7560716,1.982361,-0.373901,-0.485229
1679531140.932138,-1.767639,-0.639526,-0.485229
1679531141.1400735,0.732361,-0.170776,-0.391479
1679531141.350208,1.732361,-0.264526,-0.547729
1679531141.5169194,1.982361,-0.530151,-0.313354
1679531141.716704,1.732361,-0.561401,-0.297729
1679531141.9565504,0.982361,-0.467651,-0.110229
1679531142.1640775,1.732361,-0.686401,-0.141479
1679531142.4042027,1.732361,-0.077026,-0.516479
1679531142.596079,1.732361,-0.248901,-0.547729
1679531142.799883,1.732361,-0.498901,-0.266479
1679531143.0010042,0.982361,0.001099,-0.547729
1679531143.205127,1.982361,-0.358276,-0.407104
1679531143.4091096,1.482361,-0.389526,-0.703979
1679531143.6170616,1.982361,-0.436401,-0.282104
1679531143.872073,1.982361,-0.280151,-0.344604
1679531144.095617,1.982361,-0.248901,-0.438354
1679531144.3000724,1.732361,-0.311401,-0.500854
1679531144.476072,1.732361,-0.889526,-0.657104
1679531144.6578038,1.232361,-0.592651,-0.532104
1679531144.840513,1.482361,-0.717651,-0.469604
1679531145.0328343,1.482361,-0.420776,-0.297729
1679531145.2323103,1.232361,-0.295776,-0.235229
1679531145.5081174,1.232361,-0.483276,-0.313354
1679531145.696074,1.482361,-0.155151,-0.422729
1679531145.8683276,-1.767639,-0.623901,-0.657104
1679531146.0519214,1.482361,-0.717651,-0.719604
1679531146.2282257,1.732361,-0.233276,-0.532104
1679531146.4483018,1.482361,-0.342651,-0.532104
1679531146.6211886,1.482361,-0.608276,-0.422729
1679531146.819834,1.982361,-0.217651,-0.313354
1679531147.041108,1.482361,-0.608276,-0.563354
1679531147.2411532,1.732361,-0.452026,-0.266479
1679531147.526658,1.232361,-0.436401,-0.219604
1679531147.7320712,1.232361,-0.717651,-0.625854
1679531147.916118,1.732361,-0.311401,-0.500854
1679531148.143897,1.732361,-0.592651,-0.344604
1679531148.3643231,1.232361,-0.514526,-0.391479
1679531148.6122465,1.982361,-0.139526,-0.594604
1679531148.8531818,1.982361,-0.717651,-0.422729
1679531149.077185,1.232361,-0.780151,-0.344604
1679531149.2639382,1.482361,-0.545776,-0.016479
1679531149.496236,1.482361,-0.373901,-0.641479
1679531149.6842537,-1.767639,-0.405151,-0.313354
1679531149.8732324,1.232361,-0.811401,-0.172729
1679531150.105087,1.732361,0.001099,-0.407104
1679531150.3201962,1.232361,-0.467651,-0.235229
1679531150.525106,1.482361,-0.405151,-0.219604
1679531150.7122412,1.482361,-0.795776,-0.282104
1679531150.9639382,1.482361,-0.342651,-0.282104
1679531151.1921144,1.482361,-0.467651,-0.391479
1679531151.4400752,1.982361,-0.452026,-0.438354
1679531151.665213,-1.767639,-0.373901,-0.375854
1679531151.9566524,1.482361,-0.530151,-0.516479
1679531152.1600602,1.482361,-0.608276,-0.344604
1679531152.3318882,1.232361,-0.280151,-0.594604
1679531152.4943757,1.732361,-0.467651,-0.047729
1679531152.6490686,1.982361,-0.608276,-0.282104
1679531152.8053927,1.732361,-0.483276,-0.360229
1679531152.9539244,1.232361,-0.561401,-0.172729
1679531153.0968723,1.482361,-0.280151,-0.375854
1679531153.246129,1.482361,-0.467651,-0.313354
1679531153.3966904,1.232361,-0.358276,-0.578979
1679531153.548995,1.482361,-0.452026,-0.157104
1679531153.720202,1.232361,-0.561401,-0.657104
1679531153.8845644,1.482361,-0.280151,-0.532104
1679531154.0444846,1.232361,-0.670776,-0.453979
1679531154.1971552,1.232361,-0.670776,-0.469604
1679531154.3486538,1.732361,-0.639526,-0.391479
1679531154.5020938,1.232361,-0.889526,-0.328979
1679531154.6656432,1.232361,-0.639526,-0.547729
1679531154.8168852,1.232361,-0.452026,-0.250854
1679531154.9649582,1.732361,-0.186401,-0.219604
